library	estimator	T	N	batch_size	order	time
THOI	GC	1000	30	90000	28	0.18268895149230957
THOI	GC	1000	30	90000	29	0.017554283142089844
THOI	GC	1000	30	100000	3	0.536689281463623
THOI	GC	1000	30	100000	4	0.10169434547424316
THOI	GC	1000	30	100000	5	0.5897109508514404
THOI	GC	1000	30	100000	6	2.660635232925415
THOI	GC	1000	30	100000	7	14.446983337402344
THOI	GC	1000	30	100000	8	38.64248728752136
THOI	GC	1000	30	100000	9	110.1589424610138
THOI	GC	1000	30	100000	10	219.9365577697754
THOI	GC	1000	30	100000	11	484.27238726615906
THOI	GC	1000	30	100000	12	918.2500486373901
THOI	GC	1000	30	100000	13	1496.5278193950653
THOI	GC	1000	30	100000	14	2103.4861636161804
THOI	GC	1000	30	100000	15	2592.925594329834
THOI	GC	1000	30	100000	16	2798.2833421230316
THOI	GC	1000	30	100000	17	2656.1357605457306
THOI	GC	1000	30	100000	18	2482.1935918331146
THOI	GC	1000	30	100000	19	1769.2980835437775
THOI	GC	1000	30	100000	20	1107.6147577762604
THOI	GC	1000	30	100000	21	589.117814540863
THOI	GC	1000	30	100000	22	270.34239172935486
THOI	GC	1000	30	100000	23	104.25382804870605
THOI	GC	1000	30	100000	24	33.90470552444458
THOI	GC	1000	30	100000	25	9.115554094314575
THOI	GC	1000	30	100000	26	2.12195086479187
THOI	GC	1000	30	100000	27	0.3312349319458008
THOI	GC	1000	30	100000	28	0.04328036308288574
THOI	GC	1000	30	100000	29	0.00843667984008789
THOI	GC	1000	30	150000	3	0.48036909103393555
THOI	GC	1000	30	150000	4	0.09915447235107422
THOI	GC	1000	30	150000	5	0.5870811939239502
THOI	GC	1000	30	150000	6	2.5691373348236084
THOI	GC	1000	30	150000	7	9.384712934494019
THOI	GC	1000	30	150000	8	32.118367195129395
THOI	GC	1000	30	150000	9	91.81016159057617
THOI	GC	1000	30	150000	10	225.83776330947876
THOI	GC	1000	30	150000	11	487.77725172042847
THOI	GC	1000	30	150000	12	901.1380498409271
THOI	GC	1000	30	150000	13	1454.9309787750244
THOI	GC	1000	30	150000	14	2248.6338086128235
THOI	GC	1000	30	150000	15	2914.4232058525085
THOI	GC	1000	30	150000	16	3248.919532060623
THOI	GC	1000	30	150000	17	3176.237172603607
THOI	GC	1000	30	150000	18	3060.7190086841583
THOI	GC	1000	30	150000	19	2237.9859137535095
THOI	GC	1000	30	150000	20	1404.1636726856232
THOI	GC	1000	30	150000	21	763.0795197486877
THOI	GC	1000	30	150000	22	361.24752855300903
THOI	GC	1000	30	150000	23	133.5107581615448
THOI	GC	1000	30	150000	24	37.57175064086914
THOI	GC	1000	30	150000	25	14.693114995956421
THOI	GC	1000	30	150000	26	2.8160524368286133
THOI	GC	1000	30	150000	27	0.4463188648223877
THOI	GC	1000	30	150000	28	0.1287672519683838
THOI	GC	1000	30	150000	29	0.016210317611694336
THOI	GC	1000	30	200000	3	0.1343214511871338
THOI	GC	1000	30	200000	4	0.10230827331542969
THOI	GC	1000	30	200000	5	0.5722994804382324
THOI	GC	1000	30	200000	6	2.7021644115448
THOI	GC	1000	30	200000	7	9.494285821914673
THOI	GC	1000	30	200000	8	31.77069854736328
THOI	GC	1000	30	200000	9	90.21800470352173
THOI	GC	1000	30	200000	10	220.37538599967957
THOI	GC	1000	30	200000	11	482.55349707603455
THOI	GC	1000	30	200000	12	911.6488983631134
THOI	GC	1000	30	200000	13	1483.987394809723
THOI	GC	1000	30	200000	14	2333.8883447647095
THOI	GC	1000	30	200000	15	3030.540805578232
THOI	GC	1000	30	200000	16	3438.0770082473755
THOI	GC	1000	30	200000	17	3304.076315164566
THOI	GC	1000	30	200000	18	3284.098381280899
THOI	GC	1000	30	200000	19	2382.88960647583
THOI	GC	1000	30	200000	20	1509.783016204834
THOI	GC	1000	30	200000	21	816.6695823669434
THOI	GC	1000	30	200000	22	364.9493181705475
THOI	GC	1000	30	200000	23	156.1332380771637
THOI	GC	1000	30	200000	24	40.257771492004395
THOI	GC	1000	30	200000	25	8.395502805709839
THOI	GC	1000	30	200000	26	1.9516596794128418
THOI	GC	1000	30	200000	27	0.3170595169067383
THOI	GC	1000	30	200000	28	0.04406237602233887
THOI	GC	1000	30	200000	29	0.008422374725341797
THOI	GC	1000	30	250000	3	0.02341151237487793
THOI	GC	1000	30	250000	4	0.12862086296081543
THOI	GC	1000	30	250000	5	0.7597713470458984
THOI	GC	1000	30	250000	6	3.2362961769104004
THOI	GC	1000	30	250000	7	12.149031162261963
THOI	GC	1000	30	250000	8	38.613462924957275
THOI	GC	1000	30	250000	9	105.37227416038513
THOI	GC	1000	30	250000	10	243.7942554950714
THOI	GC	1000	30	250000	11	509.2329878807068
THOI	GC	1000	30	250000	12	944.0766515731812
THOI	GC	1000	30	250000	13	1493.2463142871857
THOI	GC	1000	30	250000	14	2047.6949739456177
THOI	GC	1000	30	250000	15	2492.4457857608795
THOI	GC	1000	30	250000	16	2712.098925590515
THOI	GC	1000	30	250000	17	2604.4013235569
THOI	GC	1000	30	250000	18	2424.8521468639374
THOI	GC	1000	30	250000	19	1760.6271543502808
THOI	GC	1000	30	250000	20	1090.4491086006165
THOI	GC	1000	30	250000	21	584.6370162963867
THOI	GC	1000	30	250000	22	270.8271179199219
THOI	GC	1000	30	250000	23	108.52668571472168
THOI	GC	1000	30	250000	24	36.44204926490784
THOI	GC	1000	30	250000	25	9.201681137084961
THOI	GC	1000	30	250000	26	2.134181022644043
THOI	GC	1000	30	250000	27	0.3296349048614502
THOI	GC	1000	30	250000	28	0.045426130294799805
THOI	GC	1000	30	250000	29	0.010917186737060547
