sample size	iteration	time
20000	38	2.555
20000	39	2.564
20000	40	2.539
20000	41	2.677
20000	42	2.663
20000	43	2.494
20000	44	2.55
20000	45	2.458
20000	46	2.541
20000	47	2.503
20000	48	2.512
20000	49	2.503
20000	50	2.611
20000	51	4.863
20000	52	2.942
20000	53	3.208
20000	54	2.642
20000	55	2.474
20000	56	2.624
20000	57	2.61
20000	58	2.592
20000	59	2.64
20000	60	2.579
20000	61	2.725
20000	62	2.542
20000	63	2.556
20000	64	2.539
20000	65	2.608
20000	66	2.608
20000	67	2.552
20000	68	2.557
20000	69	2.611
20000	70	2.559
20000	71	2.549
20000	72	2.513
20000	73	2.522
20000	74	2.627
20000	75	2.666
20000	76	2.538
20000	77	2.542
20000	78	2.541
20000	79	2.465
20000	80	2.538
20000	81	2.493
20000	82	2.73
20000	83	2.494
20000	84	2.526
20000	85	2.622
20000	86	2.364
20000	87	2.608
20000	88	2.527
20000	89	2.567
20000	90	2.508
20000	91	2.473
20000	92	2.544
20000	93	2.437
20000	94	2.52
20000	95	2.58
20000	96	2.534
20000	97	2.563
20000	98	2.529
20000	99	2.556
25000	0	3.562
25000	1	3.557
25000	2	3.621
25000	3	3.532
25000	4	3.575
25000	5	3.369
25000	6	3.534
25000	7	3.428
25000	8	3.549
25000	9	3.476
25000	10	3.533
25000	11	3.513
25000	12	3.717
25000	13	3.912
25000	14	3.528
25000	15	3.5
25000	16	3.538
25000	17	3.564
25000	18	3.452
25000	19	3.632
25000	20	3.42
25000	21	3.444
25000	22	3.454
25000	23	3.452
25000	24	3.532
25000	25	3.455
25000	26	3.555
25000	27	3.308
25000	28	3.796
25000	29	3.63
25000	30	3.572
25000	31	3.618
25000	32	3.58
25000	33	3.674
25000	34	3.52
25000	35	3.526
25000	36	3.497
25000	37	3.55
25000	38	3.544
25000	39	3.591
25000	40	3.932
25000	41	3.435
25000	42	3.524
25000	43	3.514
25000	44	3.577
25000	45	3.599
25000	46	3.558
25000	47	3.522
25000	48	3.509
25000	49	3.472
25000	50	3.547
25000	51	3.325
25000	52	3.752
25000	53	3.515
25000	54	3.486
25000	55	3.527
25000	56	3.513
25000	57	3.531
25000	58	3.479
25000	59	3.573
25000	60	3.325
25000	61	3.552
25000	62	3.518
25000	63	3.632
25000	64	3.618
25000	65	3.394
25000	66	3.605
25000	67	3.531
25000	68	3.621
25000	69	3.536
25000	70	3.486
25000	71	3.389
25000	72	3.551
25000	73	3.481
25000	74	3.551
25000	75	3.71
25000	76	3.547
25000	77	3.392
25000	78	3.533
25000	79	3.774
25000	80	3.49
25000	81	3.63
25000	82	3.626
25000	83	3.658
25000	84	3.721
25000	85	3.707
25000	86	3.546
25000	87	3.758
25000	88	3.586
25000	89	3.544
25000	90	3.636
25000	91	3.479
25000	92	3.6
25000	93	3.291
25000	94	3.673
25000	95	3.833
25000	96	3.559
25000	97	3.348
25000	98	3.612
25000	99	3.606
30000	0	4.589
30000	1	4.672
30000	2	4.799
30000	3	4.702
30000	4	4.844
30000	5	4.768
30000	6	4.807
30000	7	4.732
30000	8	5.088
30000	9	4.685
30000	10	4.632
30000	11	4.695
30000	12	4.733
30000	13	4.585
30000	14	4.977
30000	15	4.649
30000	16	4.658
30000	17	4.68
30000	18	4.718
30000	19	4.699
30000	20	4.703
30000	21	4.951
30000	22	4.611
30000	23	4.849
30000	24	4.995
30000	25	4.751
30000	26	4.931
30000	27	4.796
30000	28	4.799
30000	29	5.011
30000	30	4.808
30000	31	4.786
30000	32	4.555
30000	33	4.9
30000	34	4.788
30000	35	4.795
30000	36	4.846
30000	37	4.677
30000	38	4.723
30000	39	4.704
30000	40	4.837
30000	41	4.903
30000	42	4.956
30000	43	4.507
30000	44	4.808
30000	45	4.923
30000	46	4.384
30000	47	4.737
30000	48	4.825
30000	49	4.66
30000	50	4.86
30000	51	4.812
30000	52	4.627
30000	53	4.774
30000	54	4.925
30000	55	4.759
30000	56	4.751
30000	57	4.847
30000	58	4.788
30000	59	4.854
30000	60	4.844
30000	61	4.712
30000	62	4.654
30000	63	4.96
30000	64	4.502
30000	65	4.417
30000	66	4.621
30000	67	4.616
30000	68	4.907
30000	69	4.427
30000	70	4.495
30000	71	5.05
30000	72	4.727
30000	73	4.458
30000	74	4.725
30000	75	4.864
30000	76	4.747
30000	77	4.75
30000	78	4.796
30000	79	4.59
30000	80	4.758
30000	81	4.869
30000	82	4.491
30000	83	4.579
30000	84	4.681
30000	85	4.358
30000	86	4.691
30000	87	4.757
30000	88	4.6
30000	89	4.628
30000	90	4.766
30000	91	4.539
30000	92	4.878
30000	93	4.556
30000	94	4.4
30000	95	4.655
30000	96	4.728
30000	97	4.412
30000	98	4.749
30000	99	4.652
35000	0	5.801
35000	1	5.622
35000	2	5.781
35000	3	5.806
35000	4	5.909
35000	5	5.921
35000	6	6.012
35000	7	5.546
35000	8	5.852
35000	9	5.864
35000	10	5.919
35000	11	5.606
35000	12	5.988
35000	13	5.883
35000	14	5.613
35000	15	5.8
35000	16	5.788
35000	17	6.301
35000	18	5.972
35000	19	5.689
35000	20	5.619
35000	21	5.848
35000	22	6.031
35000	23	5.861
35000	24	5.328
35000	25	5.791
35000	26	5.896
35000	27	5.766
35000	28	5.956
35000	29	5.667
35000	30	5.508
35000	31	5.853
35000	32	5.727
35000	33	5.712
35000	34	5.485
35000	35	5.44
35000	36	5.509
35000	37	5.528
35000	38	5.863
35000	39	5.437
35000	40	5.747
35000	41	5.8
35000	42	5.642
35000	43	5.903
35000	44	6.02
35000	45	6.179
35000	46	5.981
35000	47	5.959
35000	48	5.808
35000	49	5.904
35000	50	5.992
35000	51	6.038
35000	52	6.04
35000	53	5.695
35000	54	5.679
35000	55	5.825
35000	56	6.139
35000	57	5.635
35000	58	5.77
35000	59	5.694
35000	60	5.718
35000	61	5.911
35000	62	6.002
35000	63	5.851
35000	64	6.614
35000	65	5.932
35000	66	5.772
35000	67	6.239
35000	68	6.293
35000	69	6.493
35000	70	5.723
35000	71	6.116
35000	72	6.039
35000	73	6.104
35000	74	6.006
35000	75	5.427
35000	76	5.367
35000	77	6.019
35000	78	5.675
35000	79	5.997
35000	80	5.642
35000	81	5.259
35000	82	5.691
35000	83	5.851
35000	84	5.731
35000	85	5.976
35000	86	5.841
35000	87	5.55
35000	88	5.768
35000	89	5.744
35000	90	5.947
35000	91	5.883
35000	92	5.53
35000	93	5.783
35000	94	5.811
35000	95	5.827
35000	96	5.995
35000	97	5.88
35000	98	5.777
35000	99	5.727
40000	0	7.13
40000	1	6.904
40000	2	7.093
40000	3	6.97
40000	4	7.091
40000	5	6.697
40000	6	6.849
40000	7	7.082
40000	8	7.081
40000	9	6.791
40000	10	6.643
40000	11	7.791
40000	12	7.227
40000	13	6.936
40000	14	7.259
40000	15	7.264
40000	16	7.143
40000	17	7.163
40000	18	7.521
40000	19	6.848
40000	20	7.175
40000	21	7.095
40000	22	7.384
40000	23	7.536
40000	24	7.138
40000	25	6.884
40000	26	7.537
40000	27	7.274
40000	28	7.401
40000	29	7.167
40000	30	6.993
40000	31	7.193
40000	32	7.03
40000	33	7.057
40000	34	7.047
40000	35	7.076
40000	36	7.313
40000	37	7.165
40000	38	7.516
40000	39	6.918
40000	40	7.39
40000	41	7.294
40000	42	7.275
40000	43	7.192
40000	44	7.228
40000	45	7.389
40000	46	6.923
40000	47	6.925
40000	48	6.902
40000	49	6.684
40000	50	7.161
40000	51	7.209
40000	52	7.097
40000	53	7.303
40000	54	7.158
40000	55	7.272
40000	56	7.004
40000	57	7.096
40000	58	7.39
40000	59	7.093
40000	60	7.074
40000	61	7.042
40000	62	7.166
40000	63	7.1
40000	64	7.087
40000	65	7.161
40000	66	7.068
40000	67	7.304
40000	68	6.808
40000	69	7.065
40000	70	6.779
40000	71	7.207
40000	72	7.156
40000	73	7.305
40000	74	6.766
40000	75	6.707
40000	76	7.14
40000	77	6.894
40000	78	7.211
40000	79	7.119
40000	80	7.208
40000	81	6.793
40000	82	7.214
40000	83	6.487
40000	84	6.815
40000	85	6.926
40000	86	7.058
40000	87	7.252
40000	88	7.323
40000	89	6.902
40000	90	7.089
40000	91	6.779
40000	92	7.04
40000	93	7.456
40000	94	6.92
40000	95	7.067
40000	96	7.422
40000	97	7.106
40000	98	6.909
40000	99	7.2
45000	0	8.472
45000	1	8.776
45000	2	8.357
45000	3	8.225
45000	4	7.949
45000	5	8.481
45000	6	8.245
45000	7	8.246
45000	8	8.635
45000	9	8.263
45000	10	8.474
45000	11	8.515
45000	12	8.55
45000	13	8.556
45000	14	8.145
45000	15	8.556
45000	16	8.539
45000	17	8.575
45000	18	8.572
45000	19	8.49
45000	20	8.326
45000	21	8.531
45000	22	8.606
45000	23	8.183
45000	24	7.965
45000	25	8.213
45000	26	8.576
45000	27	8.546
45000	28	8.373
45000	29	8.574
45000	30	8.418
45000	31	8.322
45000	32	8.373
45000	33	8.432
45000	34	8.744
45000	35	8.48
45000	36	8.292
45000	37	8.569
45000	38	8.505
45000	39	8.515
45000	40	8.532
45000	41	8.27
45000	42	8.417
45000	43	8.575
45000	44	8.512
45000	45	8.614
45000	46	8.183
45000	47	8.628
45000	48	8.611
45000	49	8.557
45000	50	8.559
45000	51	8.263
